Year	Alabama	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District Of Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
1954	3014	933	1734	12746	1493	2249	368	791	3505	3602	600	9252	4264	2626	2042	2902	2883	927	2685	4910	7066	3113	2064	4066	624	1340	213	554	5360	763	15814	4131	611	8873	2209	1626	10817	816	2176	655	3359	8382	750	377	3555	2516	1905	3608	293
1955	3050	987	1725	13133	1546	2300	389	785	3747	3636	618	9435	4363	2679	2093	2910	2946	934	2742	4882	7285	3172	2060	4134	636	1374	237	557	5502	785	15966	4242	615	9017	2250	1659	10939	823	2200	663	3415	8660	783	375	3588	2604	1880	3679	307
1956	3071	1053	1704	13713	1625	2316	408	759	4047	3701	628	9530	4458	2703	2119	2898	3032	938	2811	4891	7467	3240	2086	4163	656	1397	250	566	5615	806	16112	4309	613	9207	2273	1698	10972	840	2229	670	3415	8830	809	377	3722	2668	1857	3742	312
1957	3109	1125	1733	14264	1664	2359	426	763	4372	3766	642	9668	4529	2716	2128	2928	3115	943	2873	4929	7569	3274	2088	4189	667	1394	260	572	5737	847	16374	4368	612	9410	2282	1712	10954	851	2274	666	3434	9070	826	376	3844	2724	1843	3791	314
1958	3163	1193	1726	14880	1667	2446	433	757	4630	3804	646	9886	4583	2708	2142	2961	3155	944	2982	5010	7667	3313	2086	4186	666	1383	269	581	5890	886	16601	4376	606	9599	2267	1718	11058	858	2304	656	3471	9252	845	380	3914	2773	1845	3843	315
1959	3204	1261	1756	15467	1710	2523	441	761	4808	3868	657	9986	4613	2729	2160	2999	3208	957	3066	5117	7767	3366	2138	4258	669	1397	279	596	6015	919	16685	4458	618	9671	2289	1746	11234	857	2348	667	3522	9405	870	387	3951	2821	1855	3891	320
1960	3274	1321	1789	15870	1769	2544	449	765	5004	3956	671	10086	4674	2756	2183	3041	3260	975	3113	5160	7834	3425	2182	4326	679	1417	291	609	6103	954	16838	4573	634	9734	2336	1772	11329	855	2392	683	3575	9624	900	389	3986	2855	1853	3962	331
1961	3316	1407	1806	16497	1844	2586	461	778	5243	4015	684	10130	4730	2756	2215	3054	3287	995	3176	5219	7893	3470	2206	4349	696	1446	315	618	6265	965	17061	4663	641	9854	2380	1787	11392	858	2409	693	3622	9820	936	390	4095	2882	1828	4009	337
1962	3323	1471	1853	17072	1899	2647	469	788	5458	4086	692	10280	4736	2750	2231	3079	3345	994	3263	5263	7933	3513	2243	4357	698	1464	352	632	6376	979	17301	4707	637	9929	2427	1818	11355	871	2423	705	3673	10053	958	393	4180	2942	1809	4049	333
1963	3358	1521	1875	17668	1936	2727	483	798	5628	4172	683	10402	4799	2747	2217	3096	3377	993	3386	5344	8058	3531	2244	4392	703	1476	397	649	6531	989	17461	4742	644	9986	2439	1853	11424	876	2460	708	3718	10159	974	397	4276	2955	1796	4112	336
1964	3395	1556	1897	18151	1970	2798	497	798	5781	4258	680	10580	4856	2746	2209	3129	3446	993	3492	5448	8187	3558	2241	4442	706	1482	426	663	6660	1006	17589	4802	649	10080	2446	1888	11519	885	2475	701	3771	10270	978	399	4357	2961	1797	4165	339
1965	3443	1584	1894	18585	1985	2857	507	797	5954	4332	686	10693	4922	2742	2206	3140	3496	997	3600	5502	8357	3592	2246	4467	706	1471	444	676	6767	1012	17734	4863	649	10201	2440	1937	11620	893	2494	692	3798	10378	994	404	4411	2967	1786	4232	332
1966	3464	1614	1899	18858	2007	2903	516	791	6104	4379	689	10836	4999	2762	2200	3147	3550	999	3695	5535	8512	3617	2245	4523	707	1456	446	681	6851	1007	17843	4896	647	10330	2454	1969	11664	899	2520	683	3822	10492	1009	413	4456	3057	1775	4274	323
1967	3458	1646	1901	19176	2053	2935	525	791	6242	4408	688	10947	5053	2793	2197	3172	3581	1004	3757	5594	8630	3659	2228	4539	701	1457	449	697	6928	1000	17935	4952	626	10414	2489	1979	11681	909	2533	671	3859	10599	1019	423	4508	3174	1769	4303	322
1968	3446	1682	1902	19394	2120	2964	534	778	6433	4482	695	10995	5093	2803	2216	3195	3603	994	3815	5618	8696	3703	2219	4568	700	1467	464	709	7005	994	18051	5004	621	10516	2503	2004	11741	922	2559	669	3878	10819	1029	430	4558	3270	1763	4345	324
1969	3440	1737	1913	19711	2166	3000	540	762	6641	4551	707	11039	5143	2805	2236	3198	3619	992	3868	5650	8781	3758	2220	4640	694	1474	480	724	7095	1011	18105	5031	621	10563	2535	2062	11741	932	2570	668	3897	11045	1047	437	4614	3343	1746	4378	329
1970	3449.8	1794.9	1930.1	20023.2	2224	3038.8	550.3	755.1	6845.4	4605.4	717.3	11124.7	5203.7	2828.5	2247.8	3230.6	3650.2	996.8	3938.1	5703.7	8896.6	3815.2	2221.1	4684.8	697.2	1488	493.2	741.9	7190.3	1023.2	18271.6	5099.2	618.9	10668.8	2566.5	2100.4	11811.6	950.6	2598.2	666.6	3937	11236.8	1065.7	446.3	4659.9	3417.4	1746.6	4425.9	333.8
1971	3497.08	1895.81	1972.31	20345.94	2303.52	3060.94	564.71	749.78	7158.3	4711.55	738.75	11202.4	5253.4	2851.71	2246.6	3298.05	3710.49	1015.39	4018.32	5737.58	8974.19	3853.49	2265.43	4725.76	710.81	1504.6	520.02	761.85	7281.11	1053.74	18357.98	5203.53	626.76	10734.82	2618.6	2151.02	11886.4	963.11	2662.27	671.3	4013.61	11509.85	1101.19	454.32	4750.84	3447.55	1770.66	4462.16	340.29
1972	3539.4	2008.29	2018.64	20585.47	2404.62	3068.7	572.91	742.24	7511.46	4809.49	763.24	11251.95	5302.44	2860.29	2256.38	3335.73	3761.65	1034.29	4073.5	5760.3	9028.94	3869.75	2307.12	4758.78	718.73	1519.01	546.79	781.11	7335.04	1078.7	18339.4	5301.15	631.12	10746.99	2658.65	2197.3	11908.23	974.79	2719.2	677.23	4094.61	11759.15	1135.45	463.14	4824.47	3447.89	1797.65	4502.41	347.35
1973	3579.78	2124.44	2059.26	20868.73	2495.87	3067.81	577.76	731.49	7913.7	4910.37	782.07	11251.37	5338.28	2863.72	2265.6	3371.02	3788.38	1045.66	4097.97	5781.17	9077.96	3889.33	2349.55	4782.65	726.8	1529.57	568.99	800.95	7333.08	1105.53	18177.06	5389.85	632.68	10767.31	2695.93	2241.93	11890.53	975.74	2776.61	678.72	4147.4	12019.54	1170.04	468.43	4901.29	3478.78	1806.36	4524.24	354.06
1974	3626.5	2223.2	2101.4	21173.87	2541.41	3074.05	581.42	717.95	8298.76	4999.42	807.99	11262.15	5361.89	2867.53	2269.5	3416.32	3820.11	1059.04	4118.82	5773.55	9117.51	3903.93	2378.27	4795.93	736.42	1539.19	596.82	815.91	7332.41	1131.31	18049.78	5470.91	634.56	10765.76	2734.77	2285.01	11870.88	950.62	2844.75	679.59	4213.51	12268.63	1200.47	473	4971.07	3549.95	1815.45	4545.78	365.5
1975	3678.81	2284.85	2159.53	21537.85	2586.19	3082.5	586.59	706.87	8518.42	5064.08	831.98	11291.74	5365.77	2880.85	2280.58	3467.77	3886.1	1072	4139.1	5757.76	9117.67	3932.52	2399.45	4808.31	748.21	1543.12	619.97	828.56	7337.77	1159.94	18003.49	5547.19	638.89	10770.43	2774.68	2329.66	11906.1	942.79	2902.03	681.04	4275.57	12568.84	1236.03	479.71	5047.4	3621.34	1842.25	4578.99	381.7
1976	3735.14	2346.16	2170.16	21935.91	2632.31	3083.34	590.17	692.3	8667.38	5132.81	856.98	11342.85	5389.09	2903.08	2301	3529.26	3950.61	1088.41	4150.54	5743.67	9129.21	3964.68	2429.76	4839.03	757.32	1550.91	646.98	845.25	7339.75	1189.3	17940.54	5607.96	645.8	10752.66	2826.82	2378.26	11897.38	946.09	2943.66	686.39	4346.93	12904.09	1274.93	484.93	5121.86	3693.61	1879.5	4595.9	396.95
1977	3780.4	2425.2	2209.01	22352.4	2696.14	3085.72	591.83	677.23	8856.18	5219.7	883.47	11386.32	5425.64	2913.57	2320.65	3573.69	4014.46	1103.58	4169.6	5738.2	9171.11	3989.36	2459.2	4863.17	769.95	1556.84	678.33	869.76	7337.17	1215.72	17812.6	5685.61	649.77	10771.39	2870.01	2446.67	11893.59	950.23	2991.68	688.48	4422.92	13193.05	1319.51	491.93	5193.11	3776.05	1908.09	4626.51	413.35
1978	3831.84	2515.32	2243.13	22835.96	2766.75	3091.63	594.78	665.05	9102.03	5295.75	910.69	11412.56	5470.21	2918.07	2335.66	3609.98	4068.58	1113.57	4183.6	5736.47	9217.76	4015.34	2487.82	4889.4	782.32	1563.88	719.44	891.52	7350.8	1238.03	17680.59	5759.49	651.3	10795.58	2917.34	2518.3	11879.4	951.82	3044.36	688.58	4486.31	13500.43	1367.51	498.11	5270.24	3889.07	1923.4	4646.11	432.88
1979	3866.25	2635.57	2271.33	23256.88	2849.23	3095.92	594.98	650.02	9426.16	5401.38	932.63	11396.84	5501.17	2915.74	2350.91	3641.8	4137.67	1122.56	4191.16	5738.4	9266.27	4050.32	2507.07	4912.43	787.31	1567.34	765.37	909.07	7366.51	1284.72	17583.84	5823.49	652.9	10798.3	2975.31	2588.01	11887.98	950.38	3090.27	688.34	4560.47	13888.37	1420.24	505.37	5307.95	4017.63	1942.15	4682.81	454.38
1980	3902.5	2735.6	2290.1	23796.8	2909.7	3112	595	637.6	9840.5	5486.7	948.6	11441.7	5492.4	2916	2370.3	3665	4226.7	1127.5	4226.5	5742.8	9255.6	4085	2526.7	4923.3	788.9	1573.1	809.9	924.3	7376.3	1310.3	17565.3	5898.2	654.7	10802.8	3043.4	2641.5	11872.6	948.6	3134.8	691.2	4602.6	14339	1472.6	512.6	5368.4	4155	1953.1	4713.6	474.6
